Address,City,Name,URL,Program Details,School District,Image,Formatted Address,latlong,lat,long
1002 Edwards St.,"San Antonio, TX",Burbank High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"1002 Edwards, San Antonio, TX 78204, USA","29.3928838,-98.5092028",29.3928838,-98.5092028
701 Santa Monica Drive,"San Antonio, TX",Edison High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"701 Santa Monica, San Antonio, TX 78212, USA","29.4720809,-98.5049999",29.4720809,-98.5049999
637 N. Main Avenue,"San Antonio, TX",Fox Tech High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"637 N Main Ave, San Antonio, TX 78205, USA","29.4324989,-98.4949656",29.4324989,-98.4949656
3118 Elgin Ave,"San Antonio, TX",Highlands High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"3118 Elgin Ave, San Antonio, TX 78210, USA","29.3882158,-98.44258549999999",29.3882158,-98.4425855
723 Donaldson Ave.,"San Antonio, TX",Jefferson High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"723 Donaldson Ave, San Antonio, TX 78201, USA","29.4651956,-98.53961699999999",29.4651956,-98.539617
1514 W. Cesar E. Chavez Blvd.,"San Antonio, TX",Lanier High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"1514 W César E Chávez Blvd, San Antonio, TX 78207, USA","29.42182,-98.5158917",29.42182,-98.5158917
4635 E. Houston St.,"San Antonio, TX",Sam Houston High School,https://www.saisd.net/page/article/227,curbside pickup of breakfast and lunch from 10:30 a.m. to 12:30 p.m.,SA ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/sanantonioisd.jpg,"4635 E Houston St, San Antonio, TX 78220, USA","29.4253751,-98.3992038",29.4253751,-98.3992038
1731 Dahlgreen,"San Antonio, TX",Gardendale Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"1731 Dahlgreen Ave, San Antonio, TX 78237, USA","29.4121029,-98.56665059999999",29.4121029,-98.5666506
2803 Castroville,"San Antonio, TX",Henry B. Gonzalez Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"2803 Castroville Rd, San Antonio, TX 78237, USA","29.4102164,-98.5840351",29.4102164,-98.5840351
115 Las Palmas,"San Antonio, TX",Las Palmas Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"115 Las Palmas Dr, San Antonio, TX 78237, USA","29.4210438,-98.5472963",29.4210438,-98.5472963
400 Aurora Drive,"San Antonio, TX",Loma Park Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"400 Aurora, San Antonio, TX 78228, USA","29.4426891,-98.5741405",29.4426891,-98.5741405
