Address,City,City,State,Name,URL,Program Details,School district,Image
415 SW 36th Street,"San Antonio, TX",San Antonio, TX,Stafford Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
2525 SW Gen McMullen,"San Antonio, TX",San Antonio, TX,Winston Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
3300 Ruiz Street,"San Antonio, TX",San Antonio, TX,Cardenas ECC,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
611 SW 36th Street,"San Antonio, TX",San Antonio, TX,Stafford ECC,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
1626 W Thompson PL,"San Antonio, TX",San Antonio, TX,Brentwood Middle School,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
3306 Ruiz,"San Antonio, TX",San Antonio, TX,Gus Garcia Middle School,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
627 S Acme Rd,"San Antonio, TX",San Antonio, TX,Wrenn Middle School,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
607 SW 34th St,"San Antonio, TX",San Antonio, TX,Edgewood Fine Arts Academy,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
607 SW 34th St,"San Antonio, TX",San Antonio, TX,Emma Frey Alternative School,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
1922 S Gen McMullen,"San Antonio, TX",San Antonio, TX,John F. Kennedy High School,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
1227 Memorial St,"San Antonio, TX",San Antonio, TX,Memorial High School,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png
422 W HUTCHINS PL,"San Antonio, TX",San Antonio, TX,Terrell Wells Middle School,https://www.facebook.com/…/a.54852505520…/3088466911206232/…,curbside pickup of breakfast 7 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 12:30 p.m.,Harlandale ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/harlandaleisd.jpg
743 W Southcross Blvd,"San Antonio, TX",San Antonio, TX,Leal Middle School,https://www.facebook.com/…/a.54852505520…/3088466911206232/…,curbside pickup of breakfast 7 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 12:30 p.m.,Harlandale ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/harlandaleisd.jpg
300 W Huff Ave,"San Antonio, TX",San Antonio, TX,Harlandale Middle School,https://www.facebook.com/…/a.54852505520…/3088466911206232/…,curbside pickup of breakfast 7 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 12:30 p.m.,Harlandale ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/harlandaleisd.jpg
422 E Ashley Rd,"San Antonio, TX",San Antonio, TX,Kingsborough Middle School,https://www.facebook.com/…/a.54852505520…/3088466911206232/…,curbside pickup of breakfast 7 a.m. to 8:30 a.m. and lunch from 11:00 a.m. to 12:30 p.m.,Harlandale ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/harlandaleisd.jpg
11843 Vance Jackson,"San Antonio, TX",San Antonio, TX,Hobby MS,https://www.nisd.net/…/nisd-offer-food-kits-and-online-inst…,Each car or vehicle will be able to pick up one food and supply kit. 8 - 10 a.m. and 4 - 6 p.m.,Northside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northsideisd_0.jpg
1256 Pinn Rd,"San Antonio, TX",San Antonio, TX,Jones MS,https://www.nisd.net/…/nisd-offer-food-kits-and-online-inst…,Each car or vehicle will be able to pick up one food and supply kit. 8 - 10 a.m. and 4 - 6 p.m.,Northside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northsideisd_0.jpg
200 Grosenbacher N,"San Antonio, TX",San Antonio, TX,Luna MS,https://www.nisd.net/…/nisd-offer-food-kits-and-online-inst…,Each car or vehicle will be able to pick up one food and supply kit. 8 - 10 a.m. and 4 - 6 p.m.,Northside ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/northsideisd_0.jpg
